"filename", "language", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app.py", "Python", 4, 0, 0, 0, 3, 7
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\__init__.py", "Python", 8, 0, 0, 1, 8, 17
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\config.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\controllers\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\controllers\hello_controller.py", "Python", 7, 0, 0, 0, 4, 11
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\controllers\stock_controller.py", "Python", 10, 0, 0, 0, 4, 14
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\config.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\main.py", "Python", 0, 0, 0, 0, 2, 2
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\feature_engineering.py", "Python", 124, 0, 0, 8, 26, 158
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\fundamental_analysis\financial_metrics.py", "Python", 115, 0, 0, 33, 43, 191
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\fundamental_analysis\financial_metrics_status.md", "Markdown", 0, 0, 39, 0, 8, 47
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\fundamental_analysis\fundamental_analysis.py", "Python", 230, 0, 0, 12, 30, 272
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\macro_economic_analysis\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\macro_economic_analysis\macro_economic_analysis.py", "Python", 168, 0, 0, 5, 24, 197
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\readme.md", "Markdown", 0, 0, 19, 0, 11, 30
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\sentimental_analysis\news_gathering.py", "Python", 136, 0, 0, 4, 25, 165
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\sentimental_analysis\sentimental_analysis.py", "Python", 86, 0, 0, 4, 20, 110
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\stock_price\stock_price.py", "Python", 88, 0, 0, 4, 19, 111
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\technical_indicators\technical_indicators.py", "Python", 40, 0, 0, 6, 12, 58
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\technical_sentimental_indicators\technical_sentiment_indicators.py", "Python", 215, 0, 0, 12, 34, 261
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\lstm_model.py", "Python", 15, 0, 0, 1, 5, 21
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\train_model.py", "Python", 24, 0, 0, 2, 5, 31
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\tests\features\fundamental_analysis\test_financial_metrics.py", "Python", 94, 0, 0, 0, 17, 111
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\tests\features\fundamental_analysis\test_fundamental_analysis.py", "Python", 103, 0, 0, 1, 18, 122
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\tests\features\test_technical_indicators.py", "Python", 48, 0, 0, 4, 9, 61
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\tests\test_data_fetching.py", "Python", 72, 0, 0, 1, 10, 83
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\services\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\services\hello_service.py", "Python", 2, 0, 0, 0, 1, 3
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\services\stock_service.py", "Python", 6, 0, 0, 1, 3, 10
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\validation\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\validation\hello_validation.py", "Python", 2, 0, 0, 2, 1, 5
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\readme.md", "Markdown", 0, 0, 23, 0, 8, 31
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\requirements.txt", "pip requirements", 0, 7, 0, 0, 0, 7
"Total", "-", 1597, 7, 81, 101, 356, 2142
