"filename", "language", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\main.py", "Python", 45, 0, 0, 2, 11, 58
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\feature_engineering.py", "Python", -124, 0, 0, -8, -26, -158
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\feature_engineering\data_standardizer.py", "Python", 201, 0, 0, 6, 29, 236
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\fundamental_analysis\financial_metrics_status.md", "Markdown", 0, 0, 0, 0, -1, -1
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\fundamental_analysis\fundamental_analysis.py", "Python", 4, 0, 0, 1, 3, 8
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\macro_economic_analysis\macro_economic_analysis.py", "Python", 2, 0, 0, 1, 0, 3
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\sentiment_score\sentiment_score.py", "Python", 84, 0, 0, 4, 18, 106
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\sentimental_analysis\news_gathering.py", "Python", -136, 0, 0, -4, -25, -165
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\sentimental_analysis\sentimental_analysis.py", "Python", -86, 0, 0, -4, -20, -110
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\stock_price\alpha_vantage.py", "Python", 136, 0, 0, 8, 27, 171
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\stock_price\fmp.py", "Python", 125, 0, 0, 4, 23, 152
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\stock_price\stock_price.py", "Python", -88, 0, 0, -4, -19, -111
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\stock_price\yfinance.py", "Python", 91, 0, 0, 5, 21, 117
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\technical_indicators\technical_indicators.py", "Python", 25, 0, 0, 0, 3, 28
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\technical_sentiment_indicators\technical_sentiment_indicators.py", "Python", 203, 0, 0, 10, 32, 245
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\features\technical_sentimental_indicators\technical_sentiment_indicators.py", "Python", -215, 0, 0, -12, -34, -261
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\lstm_model.py", "Python", -15, 0, 0, -1, -5, -21
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\neural_networks\han\han_model.py", "Python", 172, 0, 0, 37, 27, 236
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\neural_networks\lstm\lstm_data_prep.py", "Python", 62, 0, 0, 1, 11, 74
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\neural_networks\lstm\lstm_hyperparamter_search.py", "Python", 0, 0, 0, 101, 19, 120
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\neural_networks\lstm\lstm_model_executer.py", "Python", 87, 0, 0, 4, 21, 112
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\neural_networks\lstm\lstm_model_trainer.py", "Python", 112, 0, 0, 18, 23, 153
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\neural_networks\lstm\readme.md", "Markdown", 0, 0, 135, 0, 29, 164
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\scripts\train_model.py", "Python", -24, 0, 0, -2, -5, -31
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\ml\tests\test_data_fetching.py", "Python", 2, 0, 0, 1, 1, 4
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\services\__init__.py", "Python", 0, 0, 0, 0, -1, -1
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\services\hello_service.py", "Python", -2, 0, 0, 0, -1, -3
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\services\stock_service.py", "Python", -6, 0, 0, -1, -3, -10
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\validation\__init__.py", "Python", 0, 0, 0, 0, -1, -1
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\app\validation\hello_validation.py", "Python", -2, 0, 0, -2, -1, -5
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\readme.md", "Markdown", 0, 0, 19, 0, 20, 39
"d:\Freelance\Software - reborn\Github\3 Tools\Luqman\requirements.txt", "pip requirements", 0, 12, 0, 0, 0, 12
"Total", "-", 653, 12, 154, 165, 176, 1160
